x,y,random
" 1,037 ",0.966,
" 1,038 ",0.878,
" 1,039 ",0.825,
" 1,040 ",0.849,
" 1,041 ",0.891,
" 1,042 ",0.946,
" 1,043 ",0.977,
" 1,044 ",0.969,
" 1,045 ",0.946,
" 1,046 ",0.904,
" 1,047 ",0.818,
" 1,048 ",0.685,
" 1,049 ",0.559,
" 1,050 ",0.503,
" 1,051 ",0.46,
" 1,052 ",0.409,
" 1,053 ",0.302,
" 1,054 ",0.235,
" 1,055 ",0.195,
" 1,056 ",0.162,
" 1,057 ",0.128,
" 1,058 ",0.073,
" 1,059 ",0.039,
" 1,060 ",0.118,
" 1,061 ",0.193,
" 1,062 ",0.253,
" 1,063 ",0.288,
" 1,064 ",0.276,
" 1,065 ",0.204,
" 1,066 ",0.085,
" 1,067 ",0.005,
" 1,068 ",0.001,
" 1,069 ",0.063,
" 1,070 ",0.2,
" 1,071 ",0.323,
" 1,072 ",0.432,
" 1,073 ",0.48,
" 1,074 ",0.466,
" 1,075 ",0.461,
" 1,076 ",0.486,
" 1,077 ",0.523,
" 1,078 ",0.563,
" 1,079 ",0.558,
" 1,080 ",0.611,
" 1,081 ",0.657,
" 1,082 ",0.63,
" 1,083 ",0.74,
" 1,084 ",0.752,
" 1,085 ",0.621,
" 1,086 ",0.574,
" 1,087 ",0.546,
" 1,088 ",0.541,
" 1,089 ",0.685,
" 1,090 ",0.805,
" 1,091 ",0.844,
" 1,092 ",0.84,
" 1,093 ",0.819,
" 1,094 ",0.802,
" 1,095 ",0.784,
" 1,096 ",0.759,
" 1,097 ",0.714,
" 1,098 ",0.688,
" 1,099 ",0.674,
" 1,100 ",0.648,
" 1,101 ",0.574,
" 1,102 ",0.471,
" 1,103 ",0.354,
" 1,104 ",0.324,
" 1,105 ",0.354,
" 1,106 ",0.418,
" 1,107 ",0.352,
" 1,108 ",0.238,
" 1,109 ",0.229,
" 1,110 ",0.218,
" 1,111 ",0.249,
" 1,112 ",0.285,
" 1,113 ",0.413,
" 1,114 ",0.538,
" 1,115 ",0.518,
" 1,116 ",0.486,
" 1,117 ",0.423,
" 1,118 ",0.359,
" 1,119 ",0.294,
" 1,120 ",0.222,
" 1,121 ",0.181,
" 1,122 ",0.14,
" 1,123 ",0.145,
" 1,124 ",0.127,
" 1,125 ",0.105,
" 1,126 ",0.076,
" 1,127 ",0.055,
" 1,128 ",0.045,
" 1,129 ",0.039,
" 1,130 ",0.028,
" 1,131 ",0.019,
" 1,132 ",0.003,
" 1,133 ",0.001,
" 1,134 ",0,
" 1,135 ",0,
" 1,136 ",0,
" 1,137 ",0,
" 1,138 ",0,
" 1,139 ",0.003,
" 1,140 ",0.008,
" 1,141 ",0.026,
" 1,142 ",0.061,
" 1,143 ",0.093,
" 1,144 ",0.135,
" 1,145 ",0.204,
" 1,146 ",0.277,
" 1,147 ",0.338,
" 1,148 ",0.38,
" 1,149 ",0.406,
" 1,150 ",0.425,
" 1,151 ",0.436,
" 1,152 ",0.432,
" 1,153 ",0.419,
" 1,154 ",0.32,
" 1,155 ",0.187,
" 1,156 ",0.144,
" 1,157 ",0.13,
" 1,158 ",0.088,
" 1,159 ",0.035,
" 1,160 ",0.029,
" 1,161 ",0.068,
" 1,162 ",0.329,
" 1,163 ",0.614,
" 1,164 ",0.747,
" 1,165 ",0.702,
" 1,166 ",0.611,
" 1,167 ",0.581,
" 1,168 ",0.586,
" 1,169 ",0.6,
" 1,170 ",0.609,
" 1,171 ",0.596,
" 1,172 ",0.557,
" 1,173 ",0.538,
" 1,174 ",0.537,
" 1,175 ",0.517,
" 1,176 ",0.487,
" 1,177 ",0.447,
" 1,178 ",0.333,
" 1,179 ",0.205,
" 1,180 ",0.127,
" 1,181 ",0.058,
" 1,182 ",0.039,
" 1,183 ",0.026,
" 1,184 ",0.021,
" 1,185 ",0.034,
" 1,186 ",0.08,
" 1,187 ",0.087,
" 1,188 ",0.088,
" 1,189 ",0.125,
" 1,190 ",0.129,
" 1,191 ",0.056,
" 1,192 ",0.022,
" 1,193 ",0.024,
" 1,194 ",0.04,
" 1,195 ",0.075,
" 1,196 ",0.134,
" 1,197 ",0.172,
" 1,198 ",0.176,
" 1,199 ",0.165,
" 1,200 ",0.15,
" 1,201 ",0.133,
" 1,202 ",0.089,
" 1,203 ",0.037,
" 1,204 ",0.022,
" 1,205 ",0.008,
" 1,206 ",0.001,
" 1,207 ",0.004,
" 1,208 ",0.031,
" 1,209 ",0.062,
" 1,210 ",0.053,
" 1,211 ",0.016,
" 1,212 ",0.001,
" 1,213 ",0.013,
" 1,214 ",0.046,
" 1,215 ",0.048,
" 1,216 ",0.044,
" 1,217 ",0.058,
" 1,218 ",0.08,
" 1,219 ",0.101,
" 1,220 ",0.113,
" 1,221 ",0.098,
" 1,222 ",0.067,
" 1,223 ",0.062,
" 1,224 ",0.077,
" 1,225 ",0.106,
" 1,226 ",0.105,
" 1,227 ",0.038,
" 1,228 ",0.024,
" 1,229 ",0.004,
" 1,230 ",0.016,
" 1,231 ",0.033,
" 1,232 ",0.022,
" 1,233 ",0.006,
" 1,234 ",0.02,
" 1,235 ",0.066,
" 1,236 ",0.116,
" 1,237 ",0.219,
" 1,238 ",0.31,
" 1,239 ",0.33,
" 1,240 ",0.336,
" 1,241 ",0.393,
" 1,242 ",0.499,
" 1,243 ",0.618,
" 1,244 ",0.695,
" 1,245 ",0.703,
" 1,246 ",0.72,
" 1,247 ",0.725,
" 1,248 ",0.761,
" 1,249 ",0.785,
" 1,250 ",0.699,
" 1,251 ",0.767,
" 1,252 ",0.842,
" 1,253 ",0.852,
" 1,254 ",0.844,
" 1,255 ",0.84,
" 1,256 ",0.844,
" 1,257 ",0.843,
" 1,258 ",0.797,
" 1,259 ",0.742,
" 1,260 ",0.698,
" 1,261 ",0.558,
" 1,262 ",0.348,
" 1,263 ",0.192,
" 1,264 ",0.128,
" 1,265 ",0.08,
" 1,266 ",0.026,
" 1,267 ",0.017,
" 1,268 ",0.014,
" 1,269 ",0.013,
" 1,270 ",0.013,
" 1,271 ",0.01,
" 1,272 ",0.007,
" 1,273 ",0.01,
" 1,274 ",0.005,
" 1,275 ",0.002,
" 1,276 ",0,
" 1,277 ",0,
" 1,278 ",0,
" 1,279 ",0.006,
" 1,280 ",0.044,
" 1,281 ",0.104,
" 1,282 ",0.135,
" 1,283 ",0.152,
" 1,284 ",0.145,
" 1,285 ",0.129,
" 1,286 ",0.125,
" 1,287 ",0.128,
" 1,288 ",0.116,
" 1,289 ",0.101,
" 1,290 ",0.088,
" 1,291 ",0.076,
" 1,292 ",0.065,
" 1,293 ",0.054,
" 1,294 ",0.048,
" 1,295 ",0.043,
" 1,296 ",0.04,
" 1,297 ",0.04,
" 1,298 ",0.026,
" 1,299 ",0.037,
" 1,300 ",0.067,
" 1,301 ",0.104,
" 1,302 ",0.154,
" 1,303 ",0.195,
" 1,304 ",0.212,
" 1,305 ",0.202,
" 1,306 ",0.179,
" 1,307 ",0.151,
" 1,308 ",0.095,
